Date,BTC-USD_bh,portfolio_comm_0.0,portfolio_comm_0.0001,portfolio_comm_0.0005
2018-09-04,53903.14303788788,91264.75531017852,91155.81950705031,90721.18539373971
2018-09-05,49738.08673066441,84285.7713099255,84176.14160894143,83738.86222981368
2018-09-06,47807.5288382752,81049.78236950657,80944.01522261515,80522.14673435125
2018-09-07,47352.82291928629,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-08,45587.5281275123,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-09,46135.80948636797,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-10,46346.982579086856,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-11,46284.74434666409,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-12,46508.799123173136,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-13,47720.689199757486,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-14,47687.00661774606,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-15,47910.260534646724,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-16,47719.73817897253,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-17,45991.85854702759,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-18,46651.58095049593,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-19,46851.03789617613,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-20,47737.96846086152,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-21,49314.28183665424,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-22,49219.31204300501,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-23,49136.20498230494,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-24,48292.54943860099,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-25,47201.989592686376,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-26,47557.33171597828,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-27,48888.13156807668,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-28,48649.28234040924,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-29,48340.50805818502,81046.71403621491,80932.94695551915,80479.26950187396
2018-09-30,48513.31139502379,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-01,48250.15393308232,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-02,48004.715489976275,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-03,47612.90565237416,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-04,48155.47731125401,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-05,48490.7586164092,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-06,48240.56149411229,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-07,48347.75869785376,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-08,48708.59242988885,81046.71403621491,80932.94695551915,80479.26950187396
2018-10-09,48638.37420351115,81046.71403621491,80932.94695551915,80479.26950187396
